HHID,PERSID,AGEGROUP,SEX,RELATIONSHIP,CARLICENCE,CARLICTYPE,MCLICENCE,MCLICTYPE,OTHERLICENCE,WORKSTATUS,ANZSCO_1-digit,ANZSCO_3-digit,INDUSTRY,STUDYING,ED_TYPE,MAINACT,STARTPLACE,ANYSTOPS,LASTLEFT,ASSISTAGE,ASSISTLTHC,ASSISTSTHC,ASSISTDISABILITY,ASSISTENGLISH,ASSISTOTHER,ASSISTANY,WFHDAY,WFHWEEK,WFHCORONA,NQSTADIUMATTEND,NQSTADIUMYEAR,NQSTADIUMEVENT,NQSTADIUMDRIVER,NQSTADIUMEVENTOTHER,NQSTADIUMPASSENGER,NQSTADIUMEVENTSHUTTLE,NQSTADIUMPUBLICBUS,NQSTADIUMUBERTAXI,NQSTADIUMBICYCLE,NQSTADIUMWALK,DEMOGWGT20,PERSWGT20
93706,93706/1001,16,female,spouse,FALSE,,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.178149343,29.80576515
93708,93708/1000,16,female,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.178149343,27.3079586
93709,93709/1000,7,female,,TRUE,fullLicence,FALSE,,FALSE,carer,,,,,,Volunteer/Carer,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,0.939867496,23.77751923
93709,93709/1003,1,female,child,FALSE,,FALSE,,FALSE,,,,,childcare,,Childcare/Kindergarten,,TRUE,,1,,,,,,1,FALSE,,,,,,,,,,,,,,1.426358938,36.08517075
93710,93710/1000,13,female,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,8,851,health,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.161857486,26.93033409
93713,93713/1000,7,male,,TRUE,fullLicence,FALSE,,TRUE,workFullTime,,,other,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.159203172,29.32644844
93713,93713/1001,6,female,spouse,TRUE,fullLicence,FALSE,,FALSE,otherReason,,,,,,Other Activity,home,FALSE,5/2/2021 0:00,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.321639419,33.4358902
93714,93714/1000,14,male,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.185264945,27.47288895
93716,93716/1000,6,male,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,3,341,construction,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,1,2020,football,1,,,,,,,,1.402965784,32.51890945
93718,93718/1000,12,male,,TRUE,fullLicence,FALSE,,TRUE,workFullTime,7,733,transport,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.380715489,34.93044662
93718,93718/1001,11,female,spouse,TRUE,fullLicence,FALSE,,FALSE,workFullTime,,,admin,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.192860126,30.17792892
93719,93719/1000,15,female,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,0.974782407,24.66082573
93719,93719/1001,16,male,spouse,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.156279922,29.25249481
93723,93723/1000,8,male,,TRUE,fullLicence,TRUE,fullLicence,FALSE,workFullTime,4,442,publicAdmin,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.012258768,23.4628315
93724,93724/1000,9,male,,TRUE,,FALSE,,TRUE,workFullTime,3,341,construction,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.22006011,28.27939415
93727,93727/1000,6,male,,TRUE,fullLicence,TRUE,fullLicence,FALSE,workFullTime,8,832,manufacturing,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.402965784,32.51890945
93729,93729/1000,11,female,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,3,351,accom,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.192860126,36.31593323
93729,93729/1002,5,male,child,TRUE,fullLicence,FALSE,,FALSE,workFullTime,3,323,professional,tertiaryPartTime,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.817915916,55.34539413
93729,93729/1003,4,female,child,TRUE,p1Licence,FALSE,,FALSE,otherReason,,,,secondary,1,Secondary School,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.067540169,32.50064087
93732,93732/1000,13,male,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,4,442,admin,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,1,2020,concert,,,1,,,,,1,0.914224029,21.19051552
93733,93733/1000,11,male,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,4,442,professional,,,Full-time Work,home,TRUE,,,,,,,,0,TRUE,3,3,0,,,,,,,,,,,1.209921598,28.04439735
93735,93735/1000,13,male,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,FALSE,5/2/2021 0:00,,,,,,,0,FALSE,,,1,2020,concert,,,1,,,,,,0.914224029,21.19051552
93737,93737/1000,14,female,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,0.915881872,21.22894287
93739,93739/1000,13,male,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,0.914224029,21.19051552
93740,93740/1000,5,female,,TRUE,learnersPermit,FALSE,,FALSE,otherReason,,,,,,Other Activity,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.7357862,40.23324966
93741,93741/1000,8,female,,TRUE,fullLicence,FALSE,,FALSE,volunteer,1,100,retail,tertiaryFullTime,,Full-time TAFE/Uni,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.084623694,41.34550476
93741,93741/1001,8,male,spouse,TRUE,fullLicence,FALSE,,FALSE,workFullTime,6,621,retail,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,1.012258768,38.58697891
93741,93741/1002,2,male,child,FALSE,,FALSE,,FALSE,,,,,primary,1,Primary School,home,TRUE,,1,,,,,,1,FALSE,,,0,,,,,,,,,,,0.900419712,34.32370758
